Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,5.650000,5.734000,5.586000,5.701000,5.064203,15565415
2021-10-26,5.701000,5.735000,5.611000,5.683000,5.048213,13944816
2021-10-27,5.680000,5.744000,5.562000,5.615000,4.987810,17130098
2021-10-28,5.599000,5.674000,5.501000,5.641000,5.010905,15379792
2021-10-29,5.760000,6.099000,5.760000,6.062000,5.384880,45392845
2021-11-01,6.052000,6.292000,6.030000,6.279000,5.577641,19040383
2021-11-02,6.202000,6.254000,6.141000,6.162000,5.473711,14286905
2021-11-03,6.155000,6.189000,6.064000,6.183000,5.492364,14959578
2021-11-04,6.220000,6.260000,6.005000,6.040000,5.365337,37116283
2021-11-05,6.028000,6.107000,5.997000,6.026000,5.352901,17161028
2021-11-08,6.006000,6.089000,5.995000,6.021000,5.348459,17911959
2021-11-09,5.991000,6.040000,5.936000,5.973000,5.305821,10129829
2021-11-10,5.976000,6.047000,5.967000,6.032000,5.358231,10650999
2021-11-11,6.040000,6.118000,6.030000,6.080000,5.400869,23857692
2021-11-12,6.180000,6.186000,6.073000,6.127000,5.442619,14899334
2021-11-15,5.929000,5.950000,5.705000,5.865000,5.209884,24492827
2021-11-16,5.884000,5.900000,5.785000,5.799000,5.151257,19188366
2021-11-17,5.800000,5.813000,5.749000,5.752000,5.109507,15938745
2021-11-18,5.750000,5.780000,5.355000,5.435000,4.827915,47146455
2021-11-19,5.495000,5.578000,5.300000,5.403000,4.799489,35036691
2021-11-22,5.465000,5.501000,5.314000,5.424000,4.818144,23669423
2021-11-23,5.327000,5.403000,5.267000,5.293000,4.701777,33280647
2021-11-24,5.303000,5.360000,5.190000,5.190000,4.610282,35447788
2021-11-25,5.216000,5.253000,5.167000,5.230000,4.645813,14510790
2021-11-26,4.996000,5.054000,4.846000,4.846000,4.304706,43912406
2021-11-29,4.959500,4.973000,4.801500,4.802500,4.266065,27514385
