Id,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
2,115,0.85,0.05000000000000002,0.07846741676330567,0.028823002420565097,0.0005002498626708984,9.536743164062499e-08,1,1,100,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 100}",0.875,0.85,0.825,0.775,0.925
29,115,0.85,0.01581138830084191,0.7425386428833007,0.08873093239222099,0.0012012481689453124,0.0004006147491061416,0.5,1,1000,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 1000}",0.85,0.825,0.85,0.85,0.875
140,120,0.8450000000000001,0.029154759474226494,0.1740499496459961,0.006173054604969771,0.0006003856658935546,0.00020024778587730886,0.01,4,100,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",0.875,0.85,0.8,0.875,0.825
24,121,0.8400000000000001,0.03391164991562632,0.007606410980224609,0.00020020015895315458,0.0005005359649658203,1.1680077279964342e-07,0.5,1,10,"{'learning_rate': 0.5, 'max_depth': 1, 'n_estimators': 10}",0.85,0.875,0.8,0.875,0.8
84,121,0.8400000000000001,0.037416573867739396,0.013912010192871093,0.00020005705103432546,0.0006004810333251953,0.00020020010216655938,0.1,3,10,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 10}",0.85,0.8,0.85,0.9,0.8
97,121,0.8400000000000001,0.012247448713915901,0.03523044586181641,0.0005104355338735031,0.0007006168365478515,0.0002450677007499157,0.05,1,50,"{'learning_rate': 0.05, 'max_depth': 1, 'n_estimators': 50}",0.825,0.85,0.825,0.85,0.85
133,124,0.835,0.033911649915626334,0.06965985298156738,0.003600332682087798,0.0006004810333251953,0.00020008092840246626,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.85,0.775,0.825,0.875,0.85
128,124,0.835,0.012247448713915901,0.10599117279052735,0.008267761492039847,0.0007007122039794922,0.0002452816228792512,0.01,2,100,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 100}",0.825,0.825,0.825,0.85,0.85
123,124,0.835,0.029999999999999975,0.1365175724029541,0.004835277810894384,0.0009007930755615234,0.00020005722151587862,0.01,1,200,"{'learning_rate': 0.01, 'max_depth': 1, 'n_estimators': 200}",0.8,0.85,0.8,0.875,0.85
0,127,0.8299999999999998,0.04301162633521313,0.007306194305419922,0.0004002333077948646,0.0006005764007568359,0.00020003327311717456,1,1,10,"{'learning_rate': 1, 'max_depth': 1, 'n_estimators': 10}",0.875,0.85,0.825,0.75,0.85
30,128,0.825,0.0570087712549569,0.010609006881713868,0.0001999859020827686,0.0007005691528320313,0.0002451064796983492,0.5,2,10,"{'learning_rate': 0.5, 'max_depth': 2, 'n_estimators': 10}",0.875,0.75,0.825,0.775,0.9
90,129,0.8200000000000001,0.018708286933869677,0.017815160751342773,0.00040020944108330085,0.0007007598876953125,0.000245048067727345,0.1,4,10,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 10}",0.8,0.825,0.825,0.85,0.8
78,130,0.8150000000000001,0.058309518948453,0.010609102249145509,0.00020017629580703665,0.00050048828125,9.536743164062499e-08,0.1,2,10,"{'learning_rate': 0.1, 'max_depth': 2, 'n_estimators': 10}",0.825,0.9,0.75,0.75,0.85
